Q/A,QA,Category_1
question,"Okay. Today, your job at Lorillard is to broker third parties with research that Lorillard wants to have done?",bin
answer,"Yes, that's correct.",y
question,"And in that position, you are not able to say scientifically that these diseases have been suggested or linked to tobacco smoking, one of which is different cancers to different body parts?",bin-d
answer,"Let me try to give you a little better clarification of what my role is. The scientific scope of the external relationships that I broker is an area in which I don't have any input. The scope, the relevance, the priority, the determination of what programs to try to consummate where, that's not done by me, and I don't have really any input in that part of it.",sno
question,"Thank you for that clarification. Now, you mentioned earlier when you were giving me a definition of your current management role, you said smoking and health?",bin-d
answer,Uh-huh.,ack
question,Could you define for me what you mean by smoking and health?,wh
answer,"I can tell you what it means to me. What it means to me is scientifically I'm aware that there are some gaps in fundamental understanding of the relationship between exposure to cigarette smoke I oi and various diseases. Now, I don't understand or presume to understand how those gaps are identified, I am aware that they are there, and my understanding of that part of my role is that we're interested in supporting fundamental research that is aimed at or is likely to make progress in filling in some of those fundamental gaps and scientific understanding. And the program that we are funding at Ohio State at Davis Heart and Lung Institute, I think, is a very strong example of that kind of work.",sno
question,Do you understand the term product stewardship?,bin
answer,"I certainly have my own concept of what product stewardship means, especially from the time I worked in the food industry. I'm aware that there is a product stewardship effort within Lorillard, but again, that's not something in which I'm directly involved or have ever been directly involved.",sno
question,"In the food industry, what was the product stewardship?",wh
answer,"Well, again, as a product development chemist, working in the food industry more than years ago, at that time, what that meant to me was that we were very particular about making sure that any ingredients that we were formulating with and our products all met the specifications, and that everything was very consistent and verifiable and reproducible. And that our products were the highest quality and the best that we could produce.",sno
question,Does safety come into that idea of product stewardship?,bin
answer,"Well, safety is a pretty broad term. I know -- I know at Nabisco, the only aspect that I could directly relate to safety was there was microbiological testing of everything to make sure there was no mold or bacteria, I suspect was one of those things, but remember, I'm a chemist and from my perspective, I think in compositional terms. So if you've got an ingredient, you have specifications of what the content or what the composition is supposed to be, and you want to -- and within my universe, that would mean that you would have specifications as to what the composition would be and you would be measuring all of your raw materials and your finished products against those compositional specifications.",sno
question,"Do you know if that happens at LoriHard, this measurement of compositions as you just described?",bin
answer,I believe it does.,so
question,"As a chemist, are you familiar with the Chemist's Code of Conduct?",bin
answer,The Chemist Code of Conduct is not something I'm familiar with not under that label.,sno
question,Okay. Or the Chemist's Creed by the American Chemistry Society Council in 1965?,or
question,Not familiar with that?,bin
answer,"No, I haven't run across that.",n
question,"Okay. While working at Lorillard, do you believe that smoking and tobacco use causes disease?",bin
answer,You're asking my personal opinion; is that correct?,bin-d
question,"Yes, while working here at Lorillard.",y-d
answer,Yes.,y
question,And how does that idea work with your understanding of product stewardship?,wh
answer,I'm not sure I understand what you're asking me.,dno
question,"Well, you explained what you understood product stewardship to be personally, particularly when you were working in the food industry,",bin-d
